subject,body,intent
Meeting Request,Can we schedule a call to discuss next steps?,MEETING_REQUEST
Got it,Thanks for the update.,ACKNOWLEDGEMENT
Don't Miss Out!,Limited time offer: subscription now available.,PROMOTION
Application Update,Good news! Frank referred you for the Marketing Lead role.,REFERRAL
Verify Now!,Verify your bank details immediately!,SPAM
Quick Chat?,Are you free to chat around noon?,MEETING_REQUEST
Thanks,Acknowledged.,ACKNOWLEDGEMENT
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
URGENT!,Claim your free iPhone now!,SPAM
Document Needed,Where can I find the latest spreadsheet?,FILE_REQUEST
Regarding File,Requesting access to the proposal.,FILE_REQUEST
Thanks,"Okay, will do.",ACKNOWLEDGEMENT
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
Availability,Are you free to chat later today?,MEETING_REQUEST
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
New Referral,You have a new job referral for the Software Engineer position.,REFERRAL
Regarding File,Reminder to send the document.,FILE_REQUEST
File Request,Can you send me the spreadsheet?,FILE_REQUEST
Application Update,Referral received from Frank.,REFERRAL
Got it,Acknowledged.,ACKNOWLEDGEMENT
Verify Now!,Verify your bank details immediately!,SPAM
File Request,"Following up on our chat, could you share the proposal?",FILE_REQUEST
Weekly Deals,Your weekly newsletter and promotions.,PROMOTION
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Re: Update,Thanks for sending that over.,ACKNOWLEDGEMENT
Exclusive Offer,Claim your free gift card now!,SPAM
URGENT!,Claim your free gift card now!,SPAM
Referral Submission,You have a new job referral for the Data Analyst position.,REFERRAL
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Application Update,Good news! Henry referred you for the Software Engineer role.,REFERRAL
Meeting Request,Can we schedule a call to discuss the budget?,MEETING_REQUEST
Quick Chat?,Are you free to chat at 3 PM?,MEETING_REQUEST
Weekly Deals,Weekly Digest: Top news and special offers.,PROMOTION
URGENT!,Verify your bank details immediately!,SPAM
Regarding File,Need the presentation for the meeting.,FILE_REQUEST
Regarding File,"Hi, is the document ready?",FILE_REQUEST
Quick Chat?,Available for a quick call later today?,MEETING_REQUEST
New Referral,You have a new job referral for the Data Analyst position.,REFERRAL
Got it,Thanks for sending that over.,ACKNOWLEDGEMENT
New Referral,Good news! David referred you for the Marketing Lead role.,REFERRAL
Regarding File,Where can I find the latest spreadsheet?,FILE_REQUEST
Document Needed,Requesting access to the minutes.,FILE_REQUEST
Re: Update,Sounds good.,ACKNOWLEDGEMENT
New Referral,ACTION REQUIRED: New referral submission.,REFERRAL
Don't Miss Out!,Exclusive 20% discount for you!,PROMOTION
Availability,Setting up a meeting for the Q3 results.,MEETING_REQUEST
You Won!,Congratulations! You won a free iPhone!,SPAM
Availability,Can we schedule a call to discuss the Q3 results?,MEETING_REQUEST
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Regarding File,Requesting access to the document.,FILE_REQUEST
New Referral,Referral received from Emma.,REFERRAL
Regarding File,Where can I find the latest proposal?,FILE_REQUEST
File Request,"Following up on our chat, could you share the document?",FILE_REQUEST
Re: Update,Sounds good.,ACKNOWLEDGEMENT
Availability,How about we meet next Monday?,MEETING_REQUEST
Availability,Setting up a meeting for the Q3 results.,MEETING_REQUEST
URGENT!,Exclusive offer just for you - Limited spots!,SPAM
Verify Now!,Exclusive offer just for you - Limited spots!,SPAM
New Referral,ACTION REQUIRED: New referral submission.,REFERRAL
Re: Update,"Perfect, thanks!",ACKNOWLEDGEMENT
Re: Update,"Okay, will do.",ACKNOWLEDGEMENT
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Quick Chat?,Meeting request: the Q3 results discussion.,MEETING_REQUEST
Weekly Deals,Check out our new subscription lineup.,PROMOTION
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
URGENT!,Your inheritance is waiting claim now!,SPAM
Special Offer!,Check out our new software lineup.,PROMOTION
Special Offer!,Your weekly newsletter and promotions.,PROMOTION
New Referral,You have a new job referral for the Product Manager position.,REFERRAL
Weekly Deals,Don't miss our Holiday deals!,PROMOTION
New Referral,You have a new job referral for the Designer position.,REFERRAL
Quick Chat?,Available for a quick call next Monday?,MEETING_REQUEST
Application Update,Good news! Henry referred you for the Product Manager role.,REFERRAL
New Referral,Update on your application: referred by Grace.,REFERRAL
Got it,Sounds good.,ACKNOWLEDGEMENT
Special Offer!,Limited time offer: software now available.,PROMOTION
Application Update,Good news! Emma referred you for the Software Engineer role.,REFERRAL
New Referral,Update on your application: referred by Frank.,REFERRAL
Quick Chat?,Setting up a meeting for our strategy.,MEETING_REQUEST
Don't Miss Out!,Exclusive 10% discount for you!,PROMOTION
Re: Update,"Okay, will do.",ACKNOWLEDGEMENT
Don't Miss Out!,Flash Sale! 70% off everything!,PROMOTION
New Referral,Referral received from Grace.,REFERRAL
Quick Chat?,Do you have time for a brief meeting?,MEETING_REQUEST
New Referral,ACTION REQUIRED: New referral submission.,REFERRAL
Regarding File,Requesting access to the minutes.,FILE_REQUEST
Special Offer!,Flash Sale! 70% off everything!,PROMOTION
Quick Chat?,Meeting request: the budget discussion.,MEETING_REQUEST
Application Update,You have a new job referral for the Marketing Lead position.,REFERRAL
Availability,Meeting request: the project discussion.,MEETING_REQUEST
Referral Submission,Good news! Chloe referred you for the Product Manager role.,REFERRAL
Weekly Deals,Check out our new software lineup.,PROMOTION
Got it,Thanks for the update.,ACKNOWLEDGEMENT
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Meeting Request,Setting up a meeting for the new design.,MEETING_REQUEST
Document Needed,Please forward the report when you get a chance.,FILE_REQUEST
Quick Chat?,How about we meet later today?,MEETING_REQUEST
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Thanks,"Okay, will do.",ACKNOWLEDGEMENT
Quick Chat?,Meeting request: the Q3 results discussion.,MEETING_REQUEST
Regarding File,"Hi, is the minutes ready?",FILE_REQUEST
Thanks,Acknowledged.,ACKNOWLEDGEMENT
Referral Submission,Please review the attached referral profile.,REFERRAL
Quick Chat?,Can we schedule a call to discuss the Q3 results?,MEETING_REQUEST
New Referral,Good news! Emma referred you for the Software Engineer role.,REFERRAL
Thanks,"Okay, will do.",ACKNOWLEDGEMENT
New Referral,Please review the attached referral profile.,REFERRAL
Availability,Do you have time for a brief meeting?,MEETING_REQUEST
Meeting Request,Meeting request: our strategy discussion.,MEETING_REQUEST
Weekly Deals,Exclusive 70% discount for you!,PROMOTION
Re: Update,Thanks for sending that over.,ACKNOWLEDGEMENT
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
New Referral,You have a new job referral for the Data Analyst position.,REFERRAL
Exclusive Offer,Viagra cheap online!,SPAM
Regarding File,Please forward the minutes when you get a chance.,FILE_REQUEST
Quick Chat?,How about we meet sometime this week?,MEETING_REQUEST
URGENT!,Claim your free iPad now!,SPAM
You Won!,Exclusive offer just for you - Limited spots!,SPAM
Got it,Sounds good.,ACKNOWLEDGEMENT
Weekly Deals,Exclusive 10% discount for you!,PROMOTION
Regarding File,Need the report for the meeting.,FILE_REQUEST
Don't Miss Out!,Your weekly newsletter and promotions.,PROMOTION
Got it,Sounds good.,ACKNOWLEDGEMENT
URGENT!,Exclusive offer just for you - Limited spots!,SPAM
Re: Update,"Received, thank you.",ACKNOWLEDGEMENT
URGENT!,Congratulations! You won a free iPhone!,SPAM
Application Update,Update on your application: referred by Alex.,REFERRAL
URGENT!,Make money fast online!,SPAM
Availability,Let's sync up later today.,MEETING_REQUEST
Verify Now!,Exclusive offer just for you - Limited spots!,SPAM
Referral Submission,Update on your application: referred by Chloe.,REFERRAL
File Request,Can you send me the minutes?,FILE_REQUEST
Document Needed,Where can I find the latest slides?,FILE_REQUEST
Quick Chat?,Available for a quick call around noon?,MEETING_REQUEST
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
Special Offer!,Check out our new subscription lineup.,PROMOTION
Weekly Deals,Flash Sale! 20% off everything!,PROMOTION
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Special Offer!,Don't miss our Summer deals!,PROMOTION
Availability,Meeting request: the budget discussion.,MEETING_REQUEST
Application Update,You have a new job referral for the Product Manager position.,REFERRAL
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Verify Now!,Congratulations! You won £5000!,SPAM
Referral Submission,Please review the attached referral profile.,REFERRAL
Exclusive Offer,Your inheritance is waiting claim now!,SPAM
Verify Now!,Exclusive offer just for you - Limited spots!,SPAM
Re: Update,Thanks for sending that over.,ACKNOWLEDGEMENT
Referral Submission,Good news! Grace referred you for the Software Engineer role.,REFERRAL
URGENT!,Your inheritance is waiting claim now!,SPAM
URGENT!,"Congratulations! You won $1,000,000!",SPAM
Referral Submission,Referral received from Chloe.,REFERRAL
Meeting Request,Setting up a meeting for the budget.,MEETING_REQUEST
Special Offer!,Flash Sale! 20% off everything!,PROMOTION
Availability,Do you have time for a brief meeting?,MEETING_REQUEST
Thanks,Acknowledged.,ACKNOWLEDGEMENT
URGENT!,Your inheritance is waiting claim now!,SPAM
Verify Now!,Make money fast online!,SPAM
Referral Submission,Update on your application: referred by Henry.,REFERRAL
Availability,Do you have time for a brief meeting?,MEETING_REQUEST
Application Update,You have a new job referral for the Data Analyst position.,REFERRAL
Quick Chat?,Setting up a meeting for the budget.,MEETING_REQUEST
Document Needed,"Following up on our chat, could you share the presentation?",FILE_REQUEST
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
URGENT!,Congratulations! You won a free iPhone!,SPAM
Meeting Request,Setting up a meeting for our strategy.,MEETING_REQUEST
New Referral,Referral received from Grace.,REFERRAL
Meeting Request,Can we schedule a call to discuss our strategy?,MEETING_REQUEST
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
File Request,"Hi, is the presentation ready?",FILE_REQUEST
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Weekly Deals,Biggest Sale Ever! Up to 50% off.,PROMOTION
Exclusive Offer,Your inheritance is waiting claim now!,SPAM
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
Thanks,"Perfect, thanks!",ACKNOWLEDGEMENT
Regarding File,"Following up on our chat, could you share the slides?",FILE_REQUEST
Regarding File,Please forward the proposal when you get a chance.,FILE_REQUEST
You Won!,Exclusive offer just for you - Limited spots!,SPAM
Thanks,"Got it, thanks!",ACKNOWLEDGEMENT
Application Update,Referral received from Alex.,REFERRAL
Application Update,Please review the attached referral profile.,REFERRAL
Don't Miss Out!,Your weekly newsletter and promotions.,PROMOTION
New Referral,ACTION REQUIRED: New referral submission.,REFERRAL
Meeting Request,Meeting request: the new design discussion.,MEETING_REQUEST
URGENT!,Verify your bank details immediately!,SPAM
You Won!,URGENT: Your account is locked! Click here!,SPAM
Meeting Request,Meeting request: our strategy discussion.,MEETING_REQUEST
Thanks,Thanks for sending that over.,ACKNOWLEDGEMENT
Exclusive Offer,Viagra cheap online!,SPAM
Application Update,You have a new job referral for the Software Engineer position.,REFERRAL
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Quick Chat?,Let's sync up at 3 PM.,MEETING_REQUEST
Don't Miss Out!,Biggest Sale Ever! Up to 70% off.,PROMOTION
Exclusive Offer,Congratulations! You won a free iPhone!,SPAM
Quick Chat?,Are you free to chat tomorrow?,MEETING_REQUEST
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
Don't Miss Out!,Your weekly newsletter and promotions.,PROMOTION
Referral Submission,Update on your application: referred by Ben.,REFERRAL
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Don't Miss Out!,Limited time offer: gadget now available.,PROMOTION
Application Update,Referral received from Chloe.,REFERRAL
Re: Update,Acknowledged.,ACKNOWLEDGEMENT
Re: Update,Acknowledged.,ACKNOWLEDGEMENT
Quick Chat?,Setting up a meeting for the new design.,MEETING_REQUEST
Re: Update,"Got it, thanks!",ACKNOWLEDGEMENT
Regarding File,Reminder to send the agenda.,FILE_REQUEST
Document Needed,Please forward the slides when you get a chance.,FILE_REQUEST
File Request,"Following up on our chat, could you share the slides?",FILE_REQUEST
Referral Submission,Update on your application: referred by Emma.,REFERRAL
Exclusive Offer,Your inheritance is waiting claim now!,SPAM
Special Offer!,Don't miss our Holiday deals!,PROMOTION
URGENT!,URGENT: Your account is locked! Click here!,SPAM
Special Offer!,Don't miss our Weekend deals!,PROMOTION
Re: Update,Thanks for sending that over.,ACKNOWLEDGEMENT
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Document Needed,Requesting access to the document.,FILE_REQUEST
Got it,Thanks for the update.,ACKNOWLEDGEMENT
Thanks,Thanks for sending that over.,ACKNOWLEDGEMENT
You Won!,Claim your free gift card now!,SPAM
Special Offer!,Weekly Digest: Top news and special offers.,PROMOTION
Meeting Request,Setting up a meeting for the Q3 results.,MEETING_REQUEST
Weekly Deals,Check out our new subscription lineup.,PROMOTION
Regarding File,"Following up on our chat, could you share the document?",FILE_REQUEST
Thanks,Thanks for the update.,ACKNOWLEDGEMENT
Don't Miss Out!,Biggest Sale Ever! Up to 70% off.,PROMOTION
Quick Chat?,Available for a quick call tomorrow?,MEETING_REQUEST
Quick Chat?,Can we schedule a call to discuss next steps?,MEETING_REQUEST
URGENT!,Congratulations! You won £5000!,SPAM
Thanks,"Received, thank you.",ACKNOWLEDGEMENT
Exclusive Offer,Claim your free iPhone now!,SPAM
Document Needed,Can you send me the agenda?,FILE_REQUEST
Quick Chat?,Are you free to chat later today?,MEETING_REQUEST
Regarding File,Where can I find the latest spreadsheet?,FILE_REQUEST
Weekly Deals,Don't miss our Holiday deals!,PROMOTION
Regarding File,Please forward the document when you get a chance.,FILE_REQUEST
Got it,Thanks for sending that over.,ACKNOWLEDGEMENT
Availability,Do you have time for a brief meeting?,MEETING_REQUEST
Re: Update,"Perfect, thanks!",ACKNOWLEDGEMENT
Application Update,Update on your application: referred by Grace.,REFERRAL
Special Offer!,Your weekly newsletter and promotions.,PROMOTION
Document Needed,"Following up on our chat, could you share the report?",FILE_REQUEST
File Request,"Following up on our chat, could you share the proposal?",FILE_REQUEST
Quick Chat?,Let's sync up at 3 PM.,MEETING_REQUEST
Application Update,Please review the attached referral profile.,REFERRAL
Quick Chat?,Can we schedule a call to discuss the project?,MEETING_REQUEST
Meeting Request,How about we meet sometime this week?,MEETING_REQUEST
File Request,Requesting access to the slides.,FILE_REQUEST
Regarding File,Where can I find the latest slides?,FILE_REQUEST
Thanks,Thanks for the update.,ACKNOWLEDGEMENT
Verify Now!,Exclusive offer just for you - Limited spots!,SPAM
Quick Chat?,Setting up a meeting for next steps.,MEETING_REQUEST
Availability,Let's sync up around noon.,MEETING_REQUEST
Got it,Thanks for the update.,ACKNOWLEDGEMENT
You Won!,Make money fast online!,SPAM
Regarding File,"Following up on our chat, could you share the slides?",FILE_REQUEST
Thanks,"Got it, thanks!",ACKNOWLEDGEMENT
URGENT!,Exclusive offer just for you - Limited spots!,SPAM
Document Needed,Requesting access to the presentation.,FILE_REQUEST
Don't Miss Out!,Biggest Sale Ever! Up to 70% off.,PROMOTION
Thanks,Thanks for the update.,ACKNOWLEDGEMENT
Don't Miss Out!,Exclusive 20% discount for you!,PROMOTION
Quick Chat?,Setting up a meeting for the budget.,MEETING_REQUEST
Weekly Deals,Your weekly newsletter and promotions.,PROMOTION
Quick Chat?,Setting up a meeting for our strategy.,MEETING_REQUEST
Verify Now!,Exclusive offer just for you - Limited spots!,SPAM
Quick Chat?,Setting up a meeting for the project.,MEETING_REQUEST
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
Document Needed,Please forward the minutes when you get a chance.,FILE_REQUEST
Thanks,"Received, thank you.",ACKNOWLEDGEMENT
Availability,How about we meet tomorrow?,MEETING_REQUEST
Got it,Sounds good.,ACKNOWLEDGEMENT
Verify Now!,Congratulations! You won a free iPhone!,SPAM
Quick Chat?,Setting up a meeting for next steps.,MEETING_REQUEST
Availability,Available for a quick call later today?,MEETING_REQUEST
File Request,Requesting access to the minutes.,FILE_REQUEST
New Referral,You have a new job referral for the Product Manager position.,REFERRAL
New Referral,You have a new job referral for the Marketing Lead position.,REFERRAL
Special Offer!,Exclusive 30% discount for you!,PROMOTION
Exclusive Offer,Exclusive offer just for you - Limited spots!,SPAM
Re: Update,Sounds good.,ACKNOWLEDGEMENT
New Referral,Referral received from Frank.,REFERRAL
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
Special Offer!,Weekly Digest: Top news and special offers.,PROMOTION
You Won!,URGENT: Your account is locked! Click here!,SPAM
New Referral,You have a new job referral for the Designer position.,REFERRAL
Re: Update,"Received, thank you.",ACKNOWLEDGEMENT
Quick Chat?,Do you have time for a brief meeting?,MEETING_REQUEST
Thanks,"Perfect, thanks!",ACKNOWLEDGEMENT
Availability,Available for a quick call tomorrow?,MEETING_REQUEST
Don't Miss Out!,Limited time offer: subscription now available.,PROMOTION
Re: Update,Acknowledged.,ACKNOWLEDGEMENT
Verify Now!,Verify your bank details immediately!,SPAM
File Request,Reminder to send the proposal.,FILE_REQUEST
Meeting Request,Setting up a meeting for the Q3 results.,MEETING_REQUEST
Thanks,"Received, thank you.",ACKNOWLEDGEMENT
Exclusive Offer,Congratulations! You won a free iPhone!,SPAM
URGENT!,Verify your bank details immediately!,SPAM
Meeting Request,Meeting request: the budget discussion.,MEETING_REQUEST
Document Needed,Need the proposal for the meeting.,FILE_REQUEST
Don't Miss Out!,Biggest Sale Ever! Up to 30% off.,PROMOTION
New Referral,Please review the attached referral profile.,REFERRAL
New Referral,Good news! Grace referred you for the Data Analyst role.,REFERRAL
Thanks,Thanks for the update.,ACKNOWLEDGEMENT
Regarding File,"Following up on our chat, could you share the slides?",FILE_REQUEST
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
Quick Chat?,How about we meet at 3 PM?,MEETING_REQUEST
Availability,Let's sync up tomorrow.,MEETING_REQUEST
Document Needed,Requesting access to the agenda.,FILE_REQUEST
Thanks,Acknowledged.,ACKNOWLEDGEMENT
URGENT!,Viagra cheap online!,SPAM
Quick Chat?,Can we schedule a call to discuss next steps?,MEETING_REQUEST
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Document Needed,Requesting access to the proposal.,FILE_REQUEST
You Won!,URGENT: Your account is locked! Click here!,SPAM
Quick Chat?,Can we schedule a call to discuss next steps?,MEETING_REQUEST
Referral Submission,You have a new job referral for the Data Analyst position.,REFERRAL
Regarding File,Requesting access to the slides.,FILE_REQUEST
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
Don't Miss Out!,Exclusive 20% discount for you!,PROMOTION
Re: Update,Thanks for the update.,ACKNOWLEDGEMENT
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Special Offer!,Weekly Digest: Top news and special offers.,PROMOTION
Availability,Can we schedule a call to discuss our strategy?,MEETING_REQUEST
Document Needed,"Following up on our chat, could you share the report?",FILE_REQUEST
Document Needed,Need the minutes for the meeting.,FILE_REQUEST
Quick Chat?,Can we schedule a call to discuss the new design?,MEETING_REQUEST
File Request,Can you send me the agenda?,FILE_REQUEST
